code_arrondissement,nom,superficie_km2,code_postal
75101,1er arrondissement,1.83,75001
75102,2e arrondissement,0.99,75002
75103,3e arrondissement,1.17,75003
75104,4e arrondissement,1.60,75004
75105,5e arrondissement,2.54,75005
75106,6e arrondissement,2.15,75006
75107,7e arrondissement,4.09,75007
75108,8e arrondissement,3.88,75008
75109,9e arrondissement,2.18,75009
75110,10e arrondissement,2.89,75010
75111,11e arrondissement,3.67,75011
75112,12e arrondissement,16.32,75012
75113,13e arrondissement,7.15,75013
75114,14e arrondissement,5.64,75014
75115,15e arrondissement,8.48,75015
75116,16e arrondissement,16.31,75016
75117,17e arrondissement,5.67,75017
75118,18e arrondissement,6.01,75018
75119,19e arrondissement,6.79,75019
75120,20e arrondissement,5.98,75020
